"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000003402",2546.61419680864,-1.19043241572221,0.120621217380764,-9.869179250317,5.66260344466936e-23,4.81534975945751e-21
"ENSG00000004799",914.379014067714,-2.64492728351951,0.628564616633638,-4.20788446171974,0.0000257772597835099,0.000263293166785902
"ENSG00000006283",62.9602514242751,1.46690803016274,0.286728811167292,5.11601197030345,0.00000031206326459272,0.00000468432683936516
"ENSG00000007237",427.013218754781,1.40485095233038,0.190099677724947,7.39007540224787,1.46745572918249e-13,5.17716083868921e-12
"ENSG00000008256",3716.57738197619,-1.18340116767757,0.103230381219748,-11.4636907632691,2.00772843762803e-30,2.74207032375441e-28
"ENSG00000008311",721.942089206498,-1.09570624491445,0.107933419052914,-10.1516866094761,3.25685484622624e-24,3.10659149035802e-22
"ENSG00000009413",7584.98097699963,-1.09556044928272,0.126065621306496,-8.69039820633691,3.61171299165061e-18,2.00344497887622e-16
"ENSG00000011198",1159.4037990956,-1.12504485651036,0.176903617821887,-6.35964866271471,2.02215737187615e-10,4.83494072946728e-09
"ENSG00000012048",221.111604295128,1.21040431991193,0.170006642531845,7.11974721626069,1.08125184656027e-12,3.4018862634884e-11
"ENSG00000013293",244.497326184804,2.88290688674632,0.218489977266555,13.1946871101973,9.4144951831146e-40,1.92868771774079e-37
"ENSG00000013297",3431.57264316715,1.77433880162094,0.172997912842912,10.256417389452,1.10739255479051e-24,1.09692708669029e-22
"ENSG00000016391",92.1114413835648,2.00741643336826,0.26383992090809,7.60846359587697,2.77373356910643e-14,1.04176809966356e-12
"ENSG00000017483",445.787471591791,1.0055923827184,0.198509878810153,5.06570448153922,0.000000406892734285716,0.00000597579405376531
"ENSG00000020577",3105.00555637675,-1.20330797579411,0.0924720105542735,-13.0126723597933,1.03652797499241e-38,2.03114416664817e-36
"ENSG00000021645",35.9587320894996,-1.91054488014855,0.427639552560901,-4.46765241593611,0.00000790826635438124,0.0000908090610425382
"ENSG00000023909",1927.71101011188,-1.22203505448302,0.11705886064622,-10.4394921301712,1.63684050304346e-25,1.74609234253654e-23
"ENSG00000025423",169.20409821807,1.99290375906305,0.242715101129335,8.21087666070309,2.19579350870091e-16,1.01242366687621e-14
"ENSG00000025708",144.696532500223,-1.23104202567655,0.19933249450077,-6.17582210446774,6.58200668770078e-10,1.49446368470869e-08
"ENSG00000027075",80.8086056438928,-1.06889171620615,0.267525657941593,-3.99547364701563,0.0000645650392336823,0.000598139017114504
"ENSG00000028277",34.4574837048717,2.09083621823952,0.374446522112815,5.58380461498741,2.35313059391381e-08,0.000000430682622812977
"ENSG00000035664",633.042902717231,-1.6836506049589,0.161143175628165,-10.44816572837,1.4938644593842e-25,1.6030588377249e-23
"ENSG00000039537",22.9519717719,-1.86800566755601,0.484906495640547,-3.85230077210747,0.00011701317091431,0.00101663298565937
"ENSG00000040731",72.2700084929553,1.90476082508439,0.311360430849294,6.11754300277912,9.50291216599934e-10,2.10464988364418e-08
"ENSG00000041353",59.9423683987137,1.54546592893761,0.36530117999329,4.23066229615244,0.0000233004258965088,0.00024127517407367
"ENSG00000046653",1090.45825722703,-2.39616695349351,0.19011438919868,-12.6038169104043,2.01168577152769e-36,3.55555598912757e-34
"ENSG00000048540",60.0652121202479,-1.39533881261159,0.278207520104021,-5.01546044510182,0.000000529066086864214,0.00000755186335232625
"ENSG00000049246",196.030110621098,2.20785001062343,0.268632237292442,8.21885724839456,2.05451416750917e-16,9.49712343893725e-15
"ENSG00000049759",1212.98843820386,1.12077945455561,0.156629417333752,7.15561274270344,8.32999940992763e-13,2.65793326304735e-11
"ENSG00000054938",93.3812373991456,1.51173493308809,0.279729786496439,5.40426871239663,6.50733294984707e-08,0.0000011005084279535
"ENSG00000055163",284.232234651173,1.00310464349681,0.146443872276957,6.84975498052743,7.39765827280722e-12,2.07088483450572e-10
"ENSG00000056736",73.8587890213004,1.01216611620074,0.228118676751415,4.43701555091748,0.00000912147062421429,0.000103487647837215
"ENSG00000057657",212.553567505953,-1.20834790912725,0.234419378524951,-5.15464172258541,0.000000254116312014532,0.00000389227601784026
"ENSG00000060718",363.762294004358,-2.42734208791256,0.161719375784473,-15.0095934772067,6.35359057987131e-51,2.38630272862333e-48
"ENSG00000061337",66.6914993629285,1.01463547018765,0.262239774104833,3.86911357612001,0.000109231753651674,0.000957331091313752
"ENSG00000064309",348.470851504488,1.58925515979732,0.24480322868193,6.49196976834901,8.47212623407461e-11,2.09801499653705e-09
"ENSG00000064692",42.2003491380068,1.51255970344494,0.356071626855423,4.24790853683799,0.0000215775446884233,0.000225115726645194
"ENSG00000066468",28.7035272208389,2.14628782623505,0.460688605883463,4.6588689167146,0.00000317951579667176,0.0000395585305606614
"ENSG00000067082",3242.40960152819,-1.0894731443412,0.130865614353666,-8.32512917714873,8.42368311649951e-17,4.0802757362251e-15
"ENSG00000067798",705.208940870332,-2.09441214663292,0.50096446473225,-4.18075990230628,0.0000290536517087459,0.0002921245025127
"ENSG00000068383",1247.24185187194,-1.38112413393709,0.0970434464891303,-14.2320185844985,5.79835717748532e-46,1.6333247374329e-43
"ENSG00000068831",97.80861461703,-2.01990811376374,0.266482542389189,-7.57988908261663,3.45850505530168e-14,1.28556554921606e-12
"ENSG00000069431",849.101371746355,-1.05712016538315,0.098684127132057,-10.7121600616534,8.92545774427097e-27,1.0448581312579e-24
"ENSG00000070193",115.634967388118,1.26008988289191,0.206450170993018,6.10360299936261,1.03703685545479e-09,2.28274730526727e-08
"ENSG00000070404",2128.11402480981,-1.8155243546487,0.113376796611327,-16.0131914899007,1.03368774605023e-57,5.32437791022674e-55
"ENSG00000070808",23.585469416522,2.31393177576282,0.461402030423021,5.01500128562801,0.000000530331111262628,0.00000755795199513254
"ENSG00000070882",1106.50519592118,1.10276531110972,0.124501478931897,8.85744748231417,8.18673604587988e-19,4.85494991562903e-17
"ENSG00000071282",3659.86884296353,-1.60527035076755,0.124653447410886,-12.8778656676555,5.99711477938989e-38,1.12620817961293e-35
"ENSG00000072163",665.15195346299,-1.36018826424101,0.175496122547625,-7.75053171828279,9.15085577927342e-15,3.66603617752758e-13
"ENSG00000072571",36.627660489315,-1.5601626516083,0.322592217218717,-4.83633072446541,0.00000132257801196015,0.0000175319385291305
"ENSG00000072958",2129.43443527067,-1.0854944691807,0.0976457520178331,-11.1166583978222,1.04098266962006e-28,1.37991437999341e-26
"ENSG00000073756",71.6195676361844,1.37205965617717,0.364891986116242,3.76018029549183,0.000169790941359542,0.00141124531619632
"ENSG00000074527",4090.85688246418,-1.00402092781981,0.164486076911642,-6.10398732021037,1.03454497034339e-09,2.28004605444384e-08
"ENSG00000074590",412.639546693256,-1.36107097184455,0.151333290832919,-8.99386357326527,2.38688700323556e-19,1.50457338791366e-17
"ENSG00000074660",29.0084659356693,-1.30042321251261,0.360528174275683,-3.60699469639292,0.000309763989398391,0.00241019646131816
"ENSG00000075213",714.29854936872,1.20761549036161,0.135650201291477,8.90242313586219,5.46405137103548e-19,3.33918366498399e-17
